mlb_id,player_name,ogba_team_code,positions,is_pitcher,R,HR,RBI,SB,H,AB,AVG,W,SV,K,ER,IP,ERA,BB_H,WHIP,mlb_team_abbr,mlb_team_name,mlb_full_name,mlb_primary_pos,mlb_bats,mlb_throws
592206,"N,. Castellanos",SKD,OF,0,66,16,61,4,124,493,0.252,0,0,0,0,0.0,0.0,0,0.0,,Philadelphia Phillies,Nick Castellanos,RF,R,R
668715,S. Steer,RGS,OF,0,55,17,63,6,106,451,0.235,0,0,0,0,0.0,0.0,0,0.0,,Cincinnati Reds,Spencer Steer,1B,R,R
673548,S. Suzuki,,OF,0,66,27,87,4,123,490,0.251,0,0,0,0,0.0,0.0,0,0.0,,Chicago Cubs,Seiya Suzuki,RF,R,R
665742,J. Soto,LDY,OF,0,102,35,84,25,121,476,0.254,0,0,0,0,0.0,0.0,0,0.0,,New York Mets,Juan Soto,RF,L,L
691718,P. Crow-Armstrong,TSH,OF,0,81,28,83,31,129,505,0.255,0,0,0,0,0.0,0.0,0,0.0,,Chicago Cubs,Pete Crow-Armstrong,CF,L,L
666134,N. Jones,,OF,0,32,5,31,8,67,305,0.22,0,0,0,0,0.0,0.0,0,0.0,,Cleveland Guardians,Nolan Jones,RF,L,R
686668,B. Doyle,DDG,OF,0,51,14,51,15,102,419,0.243,0,0,0,0,0.0,0.0,0,0.0,,Colorado Rockies,Brenton Doyle,CF,R,R
663457,L. Nootbaar,SKD,OF,0,60,13,44,4,100,422,0.237,0,0,0,0,0.0,0.0,0,0.0,,St. Louis Cardinals,Lars Nootbaar,LF,L,R
668804,B. Reynolds,,OF,0,54,14,68,3,124,506,0.245,0,0,0,0,0.0,0.0,0,0.0,,Pittsburgh Pirates,Bryan Reynolds,RF,S,R
808982,J.H. Lee,LDY,OF,0,63,7,48,10,126,487,0.259,0,0,0,0,0.0,0.0,0,0.0,,San Francisco Giants,Jung Hoo Lee,CF,L,R
664023,I. Happ,TSH,OF,0,71,17,59,5,108,464,0.233,0,0,0,0,0.0,0.0,0,0.0,,Chicago Cubs,Ian Happ,LF,S,R
686217,S. Frelick,,OF,0,63,10,53,18,132,448,0.295,0,0,0,0,0.0,0.0,0,0.0,,Milwaukee Brewers,Sal Frelick,RF,L,R
669242,T. Edman,DLC,OF,0,42,11,42,3,67,293,0.229,0,0,0,0,0.0,0.0,0,0.0,,Los Angeles Dodgers,Tommy Edman,2B,S,R
666971,L. Gurriel Jr.,SKD,OF,0,52,19,80,10,124,497,0.249,0,0,0,0,0.0,0.0,0,0.0,,Arizona Diamondbacks,Lourdes Gurriel Jr.,LF,R,R
607043,B. Nimmo,,OF,0,70,22,77,12,127,482,0.263,0,0,0,0,0.0,0.0,0,0.0,,Texas Rangers,Brandon Nimmo,LF,L,R
671218,H. Ramos,DVD,OF,0,68,16,57,6,136,514,0.265,0,0,0,0,0.0,0.0,0,0.0,,San Francisco Giants,Heliot Ramos,LF,R,R
595777,J Profar,TSH,OF,0,44,12,37,8,60,224,0.268,0,0,0,0,0.0,0.0,0,0.0,,Atlanta Braves,Jurickson Profar,LF,S,R
660821,J. Sanchez,,OF,0,51,12,42,9,97,380,0.255,0,0,0,0,0.0,0.0,0,0.0,,Houston Astros,Jesús Sánchez,RF,L,R
