mlb_id,mlb_full_name,is_pitcher,career_group,career_G,career_AB,career_R,career_H,career_HR,career_RBI,career_SB,career_AVG,career_OBP,career_SLG,career_OPS,career_GS,career_W,career_L,career_SV,career_K,career_IP,career_ERA,career_WHIP,career_CG,career_SHO
664983,Jake McCarthy,0,H,431,1304,185,339,24,139,83,.260,.324,.381,.705,,,,,,,,,,
671056,Iván Herrera,0,H,203,672,97,192,24,98,13,.286,.370,.436,.806,,,,,,,,,,
672275,Patrick Bailey,0,H,353,1136,122,261,21,149,6,.230,.287,.340,.627,,,,,,,,,,
660688,Keibert Ruiz,0,H,474,1727,164,429,44,201,10,.248,.293,.372,.665,,,,,,,,,,
686948,Drake Baldwin,0,H,124,405,56,111,19,80,0,.274,.341,.469,.810,,,,,,,,,,
669257,Will Smith,0,H,722,2508,413,661,128,442,12,.264,.358,.476,.834,,,,,,,,,,
663886,Tyler Stephenson,0,H,558,1754,252,458,63,258,2,.261,.338,.426,.764,,,,,,,,,,
687221,Dalton Rushing,0,H,53,142,15,29,4,24,0,.204,.258,.324,.582,,,,,,,,,,
682626,Francisco Alvarez,0,H,304,948,125,218,48,143,3,.230,.306,.429,.735,,,,,,,,,,
696100,Hunter Goodman,0,H,237,821,103,204,45,144,3,.248,.292,.482,.774,,,,,,,,,,
672515,Gabriel Moreno,0,H,316,992,126,279,22,142,11,.281,.349,.404,.753,,,,,,,,,,
669221,Sean Murphy,0,H,604,1993,267,455,93,285,1,.228,.325,.426,.751,,,,,,,,,,
663647,Ke'Bryan Hayes,0,H,628,2338,274,591,42,225,63,.253,.308,.367,.675,,,,,,,,,,
681393,Connor Norby,0,H,133,489,74,120,17,54,11,.245,.298,.407,.705,,,,,,,,,,
668901,Mark Vientos,0,H,313,1091,124,261,54,157,2,.239,.294,.438,.732,,,,,,,,,,
807713,Matt Shaw,0,H,126,393,57,89,13,44,17,.226,.295,.394,.689,,,,,,,,,,
547180,Bryce Harper,0,H,1785,6435,1154,1801,363,1051,152,.280,.387,.519,.906,,,,,,,,,,
642715,Willy Adames,0,H,1040,3818,561,933,180,559,63,.244,.321,.440,.761,,,,,,,,,,
682668,Luisangel Acuña,0,H,109,214,36,53,3,14,16,.248,.299,.341,.640,,,,,,,,,,
682928,CJ Abrams,0,H,523,1968,287,490,59,210,116,.249,.306,.411,.717,,,,,,,,,,
669364,Xavier Edwards,0,H,239,904,126,269,4,72,63,.298,.358,.372,.730,,,,,,,,,,
678662,Ezequiel Tovar,0,H,414,1629,208,421,51,186,22,.258,.291,.429,.720,,,,,,,,,,
621121,Lance McCullers Jr.,0,H,148,14,1,1,0,0,0,.071,.071,.071,.142,,,,,,,,,,
691026,Masyn Winn,0,H,316,1200,165,302,26,120,22,.252,.304,.376,.680,,,,,,,,,,
668930,Brice Turang,0,H,448,1547,215,398,31,172,100,.257,.325,.368,.693,,,,,,,,,,
660271,Shohei Ohtani,0,H,1033,3730,708,1050,280,669,165,.282,.374,.582,.956,,,,,,,,,,
592885,Christian Yelich,0,H,1616,6108,1033,1741,233,851,221,.285,.374,.464,.838,,,,,,,,,,
606466,Ketel Marte,0,H,1230,4534,688,1273,171,587,65,.281,.351,.472,.823,,,,,,,,,,
607192,Tyler Glasnow,1,P,167,,,,,,,,,,,128,43,36,0,952,754.0,3.74,1.15,0,0
694973,Paul Skenes,1,P,55,,,,,,,,,,,55,21,13,0,386,320.2,1.96,0.95,1,0
669203,Corbin Burnes,1,P,210,,,,,,,,,,,149,63,38,2,1114,968.0,3.15,1.07,0,0
519242,Chris Sale,1,P,393,,,,,,,,,,,312,145,88,12,2579,2084.0,3.01,1.05,16,3
808967,Yoshinobu Yamamoto,1,P,48,,,,,,,,,,,48,19,10,0,306,263.2,2.66,1.03,0,0
657006,Justin Steele,1,P,102,,,,,,,,,,,91,32,22,0,517,506.2,3.30,1.21,1,0
645261,Sandy Alcantara,1,P,177,,,,,,,,,,,169,52,67,0,931,1075.1,3.65,1.18,12,4
605483,Blake Snell,1,P,222,,,,,,,,,,,222,81,62,0,1440,1158.0,3.15,1.22,1,1
808963,Roki Sasaki,1,P,10,,,,,,,,,,,8,1,1,0,28,36.1,4.46,1.43,0,0
554430,Zack Wheeler,1,P,283,,,,,,,,,,,283,113,75,0,1820,1728.1,3.28,1.14,5,3
675911,Spencer Strider,1,P,90,,,,,,,,,,,77,39,24,0,626,455.0,3.74,1.16,0,0
657277,Logan Webb,1,P,180,,,,,,,,,,,177,70,53,0,994,1062.1,3.38,1.20,3,2
668881,Hunter Greene,1,P,91,,,,,,,,,,,91,25,29,0,617,495.2,3.65,1.14,2,2
673540,Kodai Senga,1,P,52,,,,,,,,,,,52,20,13,0,320,285.0,3.00,1.25,0,0
506433,Yu Darvish,1,P,297,,,,,,,,,,,297,115,93,0,2075,1778.0,3.65,1.14,2,1
680885,Spencer Schwellenbach,1,P,38,,,,,,,,,,,38,15,11,0,235,234.1,3.23,1.01,1,0
605400,Aaron Nola,1,P,285,,,,,,,,,,,285,109,89,0,1876,1715.2,3.83,1.15,6,4
684007,Shota Imanaga,1,P,54,,,,,,,,,,,54,24,11,0,291,318.0,3.28,1.01,0,0
547184,Michael Kelly,1,P,88,,,,,,,,,,,0,8,6,2,71,91.2,3.04,1.24,0,0
592662,Robbie Ray,1,P,265,,,,,,,,,,,261,88,81,0,1734,1441.0,3.94,1.29,2,1
