mlb_id,player_name,ogba_team_code,positions,is_pitcher,group,R,HR,RBI,SB,H,AB,AVG,W,SV,K,ER,IP,ERA,BB_H,WHIP,z_total,dollar_value
647304,J. Naylor,DMK,1B,0,H,61,15,71,16,123,428,0.287,0,0,0,0,0.0,0.0,0,0.0,2.456,20.2
683737,M. Busch,DLC,1B,0,H,62,26,76,3,116,433,0.268,0,0,0,0,0.0,0.0,0,0.0,1.88,19.4
687952,C. Encarnacion-Strand,DDG,1B,0,H,13,6,19,0,27,130,0.208,0,0,0,0,0.0,0.0,0,0.0,-5.584,8.9
621566,M. Olson,SKD,1B,0,H,77,21,76,1,142,524,0.271,0,0,0,0,0.0,0.0,0,0.0,1.783,19.2
518692,F. Freeman,RGS,1B,0,H,67,18,75,4,137,457,0.3,0,0,0,0,0.0,0.0,0,0.0,2.08,19.7
630105,J. Cronenworth,DMK,2B,0,H,50,10,49,2,86,344,0.25,0,0,0,0,0.0,0.0,0,0.0,-1.597,14.5
672640,O. Lopez,DLC,2B,0,H,56,12,65,12,109,445,0.245,0,0,0,0,0.0,0.0,0,0.0,0.409,17.3
663538,N. Hoerner,DDG,2B,0,H,66,5,54,23,143,494,0.289,0,0,0,0,0.0,0.0,0,0.0,1.809,19.3
680574,M. McLain,SKD,2B,0,H,60,12,41,16,95,430,0.221,0,0,0,0,0.0,0.0,0,0.0,-0.537,16.0
671277,L. Garcia,RGS,2B,0,H,56,11,55,10,108,415,0.26,0,0,0,0,0.0,0.0,0,0.0,0.027,16.8
645277,O. Albies,DVD,2B,0,H,61,13,60,12,123,522,0.236,0,0,0,0,0.0,0.0,0,0.0,0.261,17.1
681082,B. Stott,LDY,2B,0,H,56,9,54,23,102,415,0.246,0,0,0,0,0.0,0.0,0,0.0,0.882,18.0
682829,E. De La Cruz,DMK,SS,0,H,93,19,77,32,145,532,0.273,0,0,0,0,0.0,0.0,0,0.0,5.544,24.5
621020,D. Swanson,DLC,SS,0,H,74,21,64,11,124,496,0.25,0,0,0,0,0.0,0.0,0,0.0,1.803,19.3
596019,F. Lindor,DDG,SS,0,H,94,26,76,25,147,548,0.268,0,0,0,0,0.0,0.0,0,0.0,5.331,24.2
607208,T. Turner,SKD,SS,0,H,92,14,64,34,168,560,0.3,0,0,0,0,0.0,0.0,0,0.0,5.333,24.2
665833,O. Cruz,RGS,SS,0,H,60,19,53,35,83,408,0.203,0,0,0,0,0.0,0.0,0,0.0,2.254,19.9
666149,T. Fitzgerald,DVD,SS,0,H,19,4,14,9,47,217,0.217,0,0,0,0,0.0,0.0,0,0.0,-4.609,10.2
605141,M. Betts,LDY,SS,0,H,80,14,59,8,121,488,0.248,0,0,0,0,0.0,0.0,0,0.0,0.793,17.9
593428,X. Bogaerts,TSH,SS,0,H,60,10,49,20,124,473,0.262,0,0,0,0,0.0,0.0,0,0.0,0.939,18.1
571448,N. Arenado,DMK,3B,0,H,43,10,43,2,85,361,0.235,0,0,0,0,0.0,0.0,0,0.0,-2.397,13.4
641857,R. McMahon,DLC,3B,0,H,51,18,41,2,88,420,0.21,0,0,0,0,0.0,0.0,0,0.0,-2.044,13.9
660761,E. Suarez,DDG,3B,0,H,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,-11.893,0.0
664761,A. Bohm,SKD,3B,0,H,46,9,51,2,113,403,0.28,0,0,0,0,0.0,0.0,0,0.0,-1.077,15.2
656305,M. Chapman,RGS,3B,0,H,60,18,50,9,85,370,0.23,0,0,0,0,0.0,0.0,0,0.0,-0.177,16.5
663586,A. Riley,DVD,3B,0,H,54,16,54,2,108,416,0.26,0,0,0,0,0.0,0.0,0,0.0,-0.497,16.0
592518,M. Machado,TSH,3B,0,H,79,21,79,12,151,526,0.287,0,0,0,0,0.0,0.0,0,0.0,3.506,21.7
665487,F. Tatis Jr.,DMK,OF,0,H,93,18,57,27,135,508,0.266,0,0,0,0,0.0,0.0,0,0.0,3.945,22.3
682998,C. Carroll,DLC,OF,0,H,91,28,68,21,123,481,0.256,0,0,0,0,0.0,0.0,0,0.0,4.381,22.9
694192,J. Chourio,DDG,OF,0,H,72,18,68,18,125,449,0.278,0,0,0,0,0.0,0.0,0,0.0,2.998,21.0
680977,B. Donovan,RGS,OF,0,H,57,9,45,3,118,423,0.279,0,0,0,0,0.0,0.0,0,0.0,-0.876,15.5
701538,J. Merrill,DVD,OF,0,H,42,9,51,1,91,349,0.261,0,0,0,0,0.0,0.0,0,0.0,-1.749,14.3
606192,T. Hernandez,LDY,OF,0,H,52,21,76,5,103,417,0.247,0,0,0,0,0.0,0.0,0,0.0,0.843,17.9
671739,M. Harris II,TSH,OF,0,H,46,17,73,15,128,514,0.249,0,0,0,0,0.0,0.0,0,0.0,1.269,18.5
686611,D. Crews,DMK,OF,0,H,33,7,19,14,42,209,0.201,0,0,0,0,0.0,0.0,0,0.0,-3.461,11.9
660670,R. Acuna Jr.,DLC,OF,0,H,57,15,31,6,73,249,0.293,0,0,0,0,0.0,0.0,0,0.0,-0.269,16.4
695578,J. Wood,DDG,OF,0,H,73,26,84,15,131,503,0.26,0,0,0,0,0.0,0.0,0,0.0,3.706,22.0
592206,"N,. Castellanos",SKD,OF,0,H,66,16,61,4,124,493,0.252,0,0,0,0,0.0,0.0,0,0.0,0.234,17.1
668715,S. Steer,RGS,OF,0,H,55,17,63,6,106,451,0.235,0,0,0,0,0.0,0.0,0,0.0,-0.11,16.6
673548,S. Suzuki,DVD,OF,0,H,66,27,87,4,123,490,0.251,0,0,0,0,0.0,0.0,0,0.0,2.297,20.0
665742,J. Soto,LDY,OF,0,H,102,35,84,25,121,476,0.254,0,0,0,0,0.0,0.0,0,0.0,6.447,25.8
691718,P. Crow-Armstrong,TSH,OF,0,H,81,28,83,31,129,505,0.255,0,0,0,0,0.0,0.0,0,0.0,5.727,24.8
666134,N. Jones,DMK,OF,0,H,32,5,31,8,67,305,0.22,0,0,0,0,0.0,0.0,0,0.0,-3.42,11.9
686668,B. Doyle,DDG,OF,0,H,51,14,51,15,102,419,0.243,0,0,0,0,0.0,0.0,0,0.0,0.137,16.9
663457,L. Nootbaar,SKD,OF,0,H,60,13,44,4,100,422,0.237,0,0,0,0,0.0,0.0,0,0.0,-1.26,15.0
668804,B. Reynolds,DVD,OF,0,H,54,14,68,3,124,506,0.245,0,0,0,0,0.0,0.0,0,0.0,-0.316,16.3
