#,Name,Team,Pos,$
155,Michael McGreevy,STL,SP,$5
156,Brett Baty,NYM,2B/3B,$5
157,Max Scherzer,FA,SP,$5
158,Alek Thomas,ARI,OF,$5
159,Connor Norby,MIA,3B,$5
160,Quinn Priester,MIL,SP,$5
161,Jordan Walker,STL,OF,$5
162,Carson Kelly,CHC,C,$5
163,Jake McCarthy,COL,OF,$5
164,Brandon Marsh,PHI,OF,$5
165,Harrison Bader,SF,OF,$4
166,Ke’Bryan Hayes,CIN,3B,$4
167,Tyler Mahle,SF,SP,$4
168,Gavin Sheets,SD,OF,$4
169,Spencer Steer,CIN,1B,$4
170,Michael Soroka,ARI,SP,$4
171,Braxton Garrett,MIA,SP,$4
172,Mike Yastrzemski,ATL,OF,$4
173,Freddy Fermin,SD,C,$4
174,Roki Sasaki,LAD,SP,$4
175,Cade Horton,CHC,SP,$4
176,JP Sears,SD,SP,$4
177,Cade Cavalli,WSH,SP,$4
178,Spencer Horwitz,PIT,1B,$4
179,Hurston Waldrep,ATL,SP,$4
180,Logan Henderson,MIL,SP,$4
181,Lucas Giolito,FA,SP,$3
182,Pavin Smith,ARI,1B,$3
183,Cole Henry,WSH,RP,$3
184,Patrick Bailey,SF,C,$3
185,Bubba Chandler,PIT,SP,$3
186,Eduardo Rodriguez,ARI,SP,$3
187,Seth Halvorsen,COL,RP,$3
188,J.J. Wetherholt,STL,SS,$3
189,Matt Shaw,CHC,3B,$3
190,Kodai Senga,NYM,SP,$3
191,Owen Caissie,MIA,OF,$3
192,Griffin Canning,SD,SP,$3
193,Nasim Nunez,WSH,SS,$3
194,Jared Triolo,PIT,1B/SS/ 3B,$3
195,Pedro Pages,STL,C,$3
196,Chad Patrick,MIL,SP,$3
197,Tommy Edman,LAD,2B/OF,$2
198,Tyler Anderson,FA,SP,$2
199,Kevin Ginkel,ARI,RP,$2
200,Foster Griffin,WSH,SP,$2
201,Andre Pallante,STL,SP,$2
202,Kyle Freeland,COL,SP,$2
203,Tyler Freeman,COL,OF,$2
204,Max Meyer,MIA,SP,$2
205,Brady House,WSH,3B,$2
206,Luis Rengifo,MIL,2B/3B,$2
207,Miles Mikolas,WSH,SP,$2
208,Mauricio Dubon,ATL,2B/SS/ 3B/OF,$1
209,Dustin May,STL,SP,$1
210,Rhys Hoskins,FA,1B,$1
211,Carlos Santana,ARI,1B,$1
212,Joey Bart,PIT,C,$1
213,Harry Ford,WSH,C,$1
214,Matthew Liberatore,STL,SP,$1
215,Tanner Scott,LAD,RP,$1
216,Patrick Corbin,FA,SP,$1
217,Hunter Harvey,CHC,RP,$1
218,Landen Roupp,SF,SP,$1
219,Jake Irvin,WSH,SP,$1
220,Jordan Lawlar,ARI,3B,$0
221,Miguel Amaya,CHC,C,$0
222,Calvin Faucher,MIA,RP,$0
223,JoJo Romero,STL,RP,$0
224,Justin Martinez,ARI,RP,$0
225,German Marquez,SD,SP,$0
226,Tommy Pham,FA,OF,$0
227,Ryan Thompson,ARI,RP,$0
228,JJ Bleday,CIN,OF,$0
229,Miguel Andujar,SD,3B/OF,$0
230,Christopher Morel,MIA,OF,$0
231,Edouard Julien,COL,1B/2B,$0
232,Sean Murphy,ATL,C,$0
233,Braxton Ashcraft,PIT,SP,$0
234,Yilber Diaz,ARI,RP,$0
235,Joe Mack,MIA,C,-$1
236,Luke Weaver,NYM,RP,-$1
237,Yohel Pozo,STL,C,-$1
238,Rowdy Tellez,FA,1B,-$1
239,Carson Benge,NYM,OF,-$1
240,Justin Steele,CHC,SP,-$1
241,Chris Paddack,MIA,SP,-$1
242,Phil Maton,CHC,RP,-$1
243,Ty France,FA,1B,-$1
244,Hunter Barco,PIT,SP,-$1
245,Dalton Rushing,LAD,C,-$1
246,Nick Gonzales,PIT,2B,-$1
247,Bryce Elder,ATL,SP,-$1
248,Jose Trevino,CIN,C,-$1
249,A.J. Puk,ARI,RP,-$1
250,Henry Davis,PIT,C,-$1
251,Konnor Griffin,PIT,SS,-$1
252,Jared Jones,PIT,SP,-$2
253,Michael Lorenzen,COL,SP,-$2
254,Nick Castellanos,SD,OF,-$2
255,Mitch Garver,FA,C,-$2
256,Grant Holmes,ATL,SP,-$2
257,Jacob Young,WSH,OF,-$2
258,Adrian Houser,SF,SP,-$2
259,Luis Torrens,NYM,C,-$2
260,Garrett Mitchell,MIL,OF,-$2
261,Spencer Schwellenbach,ATL,SP,-$2
262,Heriberto Hernandez,MIA,OF,-$2
263,Jake Bauers,MIL,1B/OF,-$2
264,Walker Buehler,FA,SP,-$2
265,Jeremiah Estrada,SD,RP,-$2
266,Robert Gasser,MIL,SP,-$2
267,Liam Hicks,MIA,C/1B,-$2
268,Ben Brown,CHC,RP,-$2
269,Alex Vesia,LAD,RP,-$2
