mlb_id,player_name,ogba_team_code,positions,is_pitcher,R,HR,RBI,SB,H,AB,AVG,W,SV,K,ER,IP,ERA,BB_H,WHIP
668930,B. Turang,TSH,MI,0,84,15,67,22,141,494,0.285,0,0,0,0,0.0,0.0,0,0.0
660271,S. Ohtani,DLC,DH,0,240,88,168,34,278,1012,0.275,1,0,44,15,32.33,4.18,39,1.21
592885,C. Yelich,DDG,DH,0,81,27,92,15,133,492,0.27,0,0,0,0,0.0,0.0,0,0.0
606466,K. Marte,SKD,DH,0,73,23,60,4,111,384,0.289,0,0,0,0,0.0,0.0,0,0.0
607192,T. Glasnow,DMK,P,1,0,0,0,0,0,0,0.0,1,0,81,26,68.67,3.41,76,1.11
694973,P. Skenes,DLC,P,1,0,0,0,0,0,0,0.0,9,0,187,38,167.0,2.05,159,0.95
669203,C. Burnes,DDG,P,1,0,0,0,0,0,0,0.0,3,0,63,19,64.33,2.66,75,1.17
519242,C. Sale,SKD,P,1,0,0,0,0,0,0,0.0,5,0,123,26,95.33,2.45,108,1.13
808967,Y. Yamamoto,RGS,P,1,0,0,0,0,0,0,0.0,10,0,153,44,134.67,2.94,146,1.08
657006,J. Steele,DVD,P,1,0,0,0,0,0,0,0.0,3,0,16,7,18.67,3.37,20,1.07
645261,S. Alcantara,LDY,P,1,0,0,0,0,0,0,0.0,7,0,113,92,140.99,5.87,190,1.35
605483,B. Snell,TSH,P,1,0,0,0,0,0,0,0.0,3,0,38,10,37.33,2.41,51,1.37
808963,R. Sasaki,DMK,P,1,0,0,0,0,0,0,0.0,1,0,21,17,31.34,4.88,45,1.44
554430,Z. Wheeler,DLC,P,1,0,0,0,0,0,0,0.0,10,0,195,45,149.67,2.71,140,0.94
675911,S. Strider,DDG,P,1,0,0,0,0,0,0,0.0,5,0,105,53,96.34,4.95,133,1.38
657277,L. Webb,RGS,P,1,0,0,0,0,0,0,0.0,12,0,187,61,173.66,3.16,210,1.21
668881,H. Greene,DVD,P,1,0,0,0,0,0,0,0.0,5,0,94,24,77.0,2.81,75,0.97
673540,K. Senga,LDY,P,1,0,0,0,0,0,0,0.0,7,0,103,33,108.68,2.73,140,1.29
506433,Y. Darvish,DMK,P,1,0,0,0,0,0,0,0.0,3,0,42,30,47.67,5.66,53,1.11
680885,S. Schwellenbach,DDG,P,1,0,0,0,0,0,0,0.0,7,0,108,38,110.67,3.09,107,0.97
605400,A. Nola,SKD,P,1,0,0,0,0,0,0,0.0,3,0,66,46,64.0,6.47,96,1.5
684007,S. Imanaga,RGS,P,1,0,0,0,0,0,0,0.0,8,0,93,40,112.99,3.19,105,0.93
547184,M. Kelly,DVD,P,1,0,0,0,0,0,0,0.0,4,0,20,10,30.0,3.0,40,1.33
592662,R. Ray,LDY,P,1,0,0,0,0,0,0,0.0,10,0,163,58,164.0,3.18,191,1.16
666157,N. Lodolo,TSH,P,1,0,0,0,0,0,0,0.0,8,0,130,48,134.32,3.22,140,1.04
656605,M. Keller,DMK,P,1,0,0,0,0,0,0,0.0,6,0,125,73,151.0,4.35,194,1.28
681982,I. Anderson,DLC,P,1,0,0,0,0,0,0,0.0,2,0,66,20,62.66,2.87,76,1.21
642547,F. Peralta,DDG,P,1,0,0,0,0,0,0,0.0,16,0,168,44,153.66,2.58,165,1.07
694297,B. Pfaadt,SKD,P,1,0,0,0,0,0,0,0.0,12,0,117,83,142.67,5.24,196,1.37
671096,A. Abbott,RGS,P,1,0,0,0,0,0,0,0.0,8,0,125,41,139.0,2.65,155,1.12
543243,S. Gray,DVD,P,1,0,0,0,0,0,0,0.0,12,0,168,71,152.33,4.19,180,1.18
601713,N. Pivetta,LDY,P,1,0,0,0,0,0,0,0.0,13,0,167,50,158.34,2.84,149,0.94
660761,Ra. Suarez,DMK,P,1,0,0,0,0,0,0,0.0,1,0,5,2,7.33,2.46,10,1.36
650911,C. Sanchez,SKD,P,1,0,0,0,0,0,0,0.0,11,0,181,50,169.33,2.66,190,1.12
663903,B. Singer,RGS,P,1,0,0,0,0,0,0,0.0,11,0,132,62,137.33,4.06,175,1.27
656849,D. Peterson,DVD,P,1,0,0,0,0,0,0,0.0,8,0,136,61,151.99,3.61,199,1.31
592791,J. Taillon,TSH,P,1,0,0,0,0,0,0,0.0,9,0,81,49,106.34,4.15,115,1.08
668964,T. Myers,DLC,P,1,0,0,0,0,0,0,0.0,1,0,30,17,37.33,4.1,55,1.47
669022,M. Gore,DDG,P,1,0,0,0,0,0,0,0.0,5,0,173,68,147.33,4.15,197,1.34
666200,J. Luzardo,SKD,P,1,0,0,0,0,0,0,0.0,12,0,175,70,149.01,4.23,197,1.32
625643,R. Lopez,DVD,P,1,0,0,0,0,0,0,0.0,0,0,1,3,5.0,5.4,11,2.2
605280,C. Holmes,TSH,P,1,0,0,0,0,0,0,0.0,11,0,111,57,142.34,3.6,187,1.31
640462,A.J. Puk,DLC,P,1,0,0,0,0,0,0,0.0,0,4,12,3,8.0,3.38,10,1.25
666808,C. Doval,DDG,P,1,0,0,0,0,0,0,0.0,4,16,63,21,57.66,3.28,73,1.27
670280,D. Bednar,SKD,P,1,0,0,0,0,0,0,0.0,5,20,69,12,49.67,2.17,51,1.03
656550,G. Holmes,DVD,P,1,0,0,0,0,0,0,0.0,4,0,123,51,115.0,3.99,154,1.34
666126,N. Cortes,TSH,P,1,5,0,4,0,17,55,0.309,0,0,0,0,0.0,0.0,0,0.0
660761,Ro. Suarez,DDG,P,1,0,0,0,0,0,0,0.0,1,0,5,2,7.33,2.46,10,1.36
690986,K. Harrison,RGS,P,1,0,0,0,0,0,0,0.0,1,0,25,12,23.67,4.56,30,1.27
679885,J. Martinez,DVD,P,1,0,0,0,0,0,0,0.0,1,5,22,7,15.34,4.11,19,1.24
656945,T. Scott,DMK,P,1,0,0,0,0,0,0,0.0,1,19,49,21,46.67,4.05,54,1.16
664854,R. Helsley,DDG,P,1,0,0,0,0,0,0,0.0,3,17,46,21,39.67,4.76,62,1.56
676534,C. Faucher,RGS,P,1,0,0,0,0,0,0,0.0,4,13,50,19,52.33,3.27,66,1.26
676254,R. Walker,DVD,P,1,0,0,0,0,0,0,0.0,5,12,53,21,53.34,3.54,59,1.11
663855,T. Kinley,LDY,P,1,0,0,0,0,0,0,0.0,2,2,57,48,67.0,6.45,108,1.61
628452,R. Iglesias,TSH,P,1,0,0,0,0,0,0,0.0,4,22,59,24,55.67,3.88,58,1.04
