period,tab,start_date,end_date
1,Draft,2016-04-03,2016-04-30
2, May 1,2016-05-01,2016-05-28
3,May 29,2016-05-29,2016-06-18
4,June 19,2016-06-19,2016-07-16
5,July 17,2016-07-17,2016-08-13
6,Aug 14,2016-08-14,2016-09-10
7,Sept 11,2016-09-11,2016-10-31
