player_name,team_code,position,is_pitcher,is_keeper
D. Norris,DKG,C,FALSE,FALSE
T. Barnhart,DMK,C,FALSE,FALSE
B. Posey,DDG,C,FALSE,FALSE
T. Murphy,SKD,C,FALSE,FALSE
T. Flowers,RGS,C,FALSE,FALSE
F. Cervelli,MNB,C,FALSE,FALSE
JT. Realmuto,DEV,C,FALSE,FALSE
Y. Grandal,LDY,C,FALSE,FALSE
W. Ramos,DKG,1B,FALSE,FALSE
W. Castillo,DMK,1B,FALSE,FALSE
T. d'Arnaud,DDG,1B,FALSE,FALSE
C. Herrmann,SKD,1B,FALSE,FALSE
Y. Molina,RGS,1B,FALSE,FALSE
N. Hundley,MNB,1B,FALSE,FALSE
W. Contreras,DEV,1B,FALSE,FALSE
C. Rupp,LDY,1B,FALSE,FALSE
W. Myers,DKG,2B,FALSE,FALSE
AD. Gonzalez,DMK,2B,FALSE,FALSE
P. Goldschmidt,DDG,2B,FALSE,FALSE
M. Adams,SKD,2B,FALSE,FALSE
F. Freeman,RGS,2B,FALSE,FALSE
A. Rizzo,MNB,2B,FALSE,FALSE
J. Votto,DEV,2B,FALSE,FALSE
B. Moss,LDY,2B,FALSE,FALSE
A. Rendon,DKG,SS,FALSE,FALSE
Y. Solarte,DMK,SS,FALSE,FALSE
C. Utley,DDG,SS,FALSE,FALSE
D. Gordon,SKD,SS,FALSE,FALSE
D. Murphy,RGS,SS,FALSE,FALSE
C. Hernadez,MNB,SS,FALSE,FALSE
R. Schimpf,DEV,SS,FALSE,FALSE
J. Segura,LDY,SS,FALSE,FALSE
W. Flores,DKG,3B,FALSE,FALSE
J. Baez,DMK,3B,FALSE,FALSE
A. Russell,DDG,3B,FALSE,FALSE
B. Crawford,SKD,3B,FALSE,FALSE
A. Cabrera,RGS,3B,FALSE,FALSE
J. Villar,MNB,3B,FALSE,FALSE
J. Gyorko,DEV,3B,FALSE,FALSE
T. Story,LDY,3B,FALSE,FALSE
K. Bryant,DKG,MI,FALSE,FALSE
E. Suarez,DMK,MI,FALSE,FALSE
N. Arenado,DDG,MI,FALSE,FALSE
M. Prado,SKD,MI,FALSE,FALSE
Ad. Garcia,RGS,MI,FALSE,FALSE
J. Reyes,MNB,MI,FALSE,FALSE
M. Franco,DEV,MI,FALSE,FALSE
M. Carpenter,LDY,MI,FALSE,FALSE
B. Zobrist,DKG,CO,FALSE,FALSE
J. Panik,DMK,CO,FALSE,FALSE
F. Galvis,DDG,CO,FALSE,FALSE
J. Peralta,SKD,CO,FALSE,FALSE
DJ LeMahieu,RGS,CO,FALSE,FALSE
J. Kang,MNB,CO,FALSE,FALSE
B. Phillips,DEV,CO,FALSE,FALSE
D. Swanson,LDY,CO,FALSE,FALSE
J. Harrison,DKG,OF,FALSE,FALSE
J. Lamb,DMK,OF,FALSE,FALSE
E. Nunez,DDG,OF,FALSE,FALSE
J. Bour,SKD,OF,FALSE,FALSE
B. Belt,RGS,OF,FALSE,FALSE
Cr. Carter,MNB,OF,FALSE,FALSE
H. Perez,DEV,OF,FALSE,FALSE
J. Turner,LDY,OF,FALSE,FALSE
M. Kemp,DKG,OF,FALSE,FALSE
J. Soler,DMK,OF,FALSE,FALSE
B. Hamilton,DDG,OF,FALSE,FALSE
G. Stanton,SKD,OF,FALSE,FALSE
S. Marte,RGS,OF,FALSE,FALSE
B. Harper,MNB,OF,FALSE,FALSE
Y. Cespedes,DEV,OF,FALSE,FALSE
E. Inciarte,LDY,OF,FALSE,FALSE
J. Heyward,DKG,OF,FALSE,FALSE
R. Braun,DMK,OF,FALSE,FALSE
B. Drury,DDG,OF,FALSE,FALSE
C. Gonzalez,SKD,OF,FALSE,FALSE
A. McCutchen,RGS,OF,FALSE,FALSE
Y. Tomas,MNB,OF,FALSE,FALSE
C. Owings,DEV,OF,FALSE,FALSE
J. Pederson,LDY,OF,FALSE,FALSE
J. Bruce,DKG,OF,FALSE,FALSE
Do. Santana,DMK,OF,FALSE,FALSE
M. Ozuna,DDG,OF,FALSE,FALSE
C. Yelich,SKD,OF,FALSE,FALSE
G. Polanco,RGS,OF,FALSE,FALSE
Y. Puig,MNB,OF,FALSE,FALSE
C. Blackmon,DEV,OF,FALSE,FALSE
A. Altherr,LDY,OF,FALSE,FALSE
J. Werth,DKG,OF,FALSE,FALSE
D. Fowler,DMK,OF,FALSE,FALSE
R. Grichuk,DDG,OF,FALSE,FALSE
O. Herrera,SKD,OF,FALSE,FALSE
H.  Pence,RGS,OF,FALSE,FALSE
AJ. Pollock,MNB,OF,FALSE,FALSE
N. Markakis,DEV,OF,FALSE,FALSE
D. Span,LDY,OF,FALSE,FALSE
J. Arrieta,DKG,P,TRUE,FALSE
M. Bumgarner,DMK,P,TRUE,FALSE
T. Watson,DDG,P,TRUE,FALSE
G. Cole,SKD,P,TRUE,FALSE
J. Fernandez,RGS,P,TRUE,FALSE
S. Strasburg,MNB,P,TRUE,FALSE
J. Taillon,DEV,P,TRUE,FALSE
C. Kershaw,LDY,P,TRUE,FALSE
Z. Greinke,DKG,P,TRUE,FALSE
M. Scherzer,DMK,P,TRUE,FALSE
J. deGrom,DDG,P,TRUE,FALSE
K. Maeda,SKD,P,TRUE,FALSE
J. Cueto,RGS,P,TRUE,FALSE
G. Gonzalez,MNB,P,TRUE,FALSE
I. Nova,DEV,P,TRUE,FALSE
J. Lester,LDY,P,TRUE,FALSE
J. Urena,DKG,P,TRUE,FALSE
A. Wainwright,DMK,P,TRUE,FALSE
J. Samardzija,DDG,P,TRUE,FALSE
N. Syndergaard,SKD,P,TRUE,FALSE
C. Bettis,RGS,P,TRUE,FALSE
J. Thompson,MNB,P,TRUE,FALSE
T. Anderson,DEV,P,TRUE,FALSE
R. Hill,LDY,P,TRUE,FALSE
R. Ray,DKG,P,TRUE,FALSE
D.  Straily,DMK,P,TRUE,FALSE
A. Ottavino,DDG,P,TRUE,FALSE
J. Garcia,SKD,P,TRUE,FALSE
J. Hammel,RGS,P,TRUE,FALSE
B. Colon,MNB,P,TRUE,FALSE
J. Eickhoff,DEV,P,TRUE,FALSE
R. Stephenson,LDY,P,TRUE,FALSE
M. Moore,DKG,P,TRUE,FALSE
T. Koehler,DMK,P,TRUE,FALSE
T.  Roark,DDG,P,TRUE,FALSE
J. Lackey,SKD,P,TRUE,FALSE
J. Ross,RGS,P,TRUE,FALSE
JS. Deleon,MNB,P,TRUE,FALSE
Z. Davies,DEV,P,TRUE,FALSE
L.Weaver,LDY,P,TRUE,FALSE
M. Leake,DKG,P,TRUE,FALSE
K. Hendricks,DMK,P,TRUE,FALSE
C. Martinez,DDG,P,TRUE,FALSE
A. Desclafani,SKD,P,TRUE,FALSE
A. Cashner,RGS,P,TRUE,FALSE
J. Teheran,MNB,P,TRUE,FALSE
S. Kelley,DEV,P,TRUE,FALSE
B. Maurer,LDY,P,TRUE,FALSE
A. Ramos,DKG,P,TRUE,FALSE
S. Matz,DMK,P,TRUE,FALSE
J.  Familia,DDG,P,TRUE,FALSE
