period,tab,start_date,end_date
1,Draft,2021-04-01,2021-04-24
2,April 25,2021-04-25,2021-05-22
3,May 23,2021-05-23,2021-06-12
4,June 13,2021-06-13,2021-07-10
5,July 11,2021-07-11,2021-08-07
6,Aug 08,2021-08-08,2021-09-04
7,Sept 05,2021-09-05,2021-10-31
