player_name,mlb_id,team_code,is_pitcher,AB,H,R,HR,RBI,SB,AVG,W,SV,K,IP,ER,ERA,WHIP
L. Gurriel,,TST,false,,,,,,,,,,,,,,
J. Urias,,DKD,true,,,,,,,,,,,,,,
C. Burnes,,DLC,true,,,,,,,,,,,,,,
Zk. Thompson,,DDD,true,,,,,,,,,,,,,,
S. Strider,,SDS,true,,,,,,,,,,,,,,
J. Quintana,,RSR,true,,,,,,,,,,,,,,
A. Nola,,DD2,true,,,,,,,,,,,,,,
L. Lynn,,LDL,true,,,,,,,,,,,,,,
S. Alcantara,,TST,true,,,,,,,,,,,,,,
C. Kershaw,,DKD,true,,,,,,,,,,,,,,
Z. Wheeler,,DLC,true,,,,,,,,,,,,,,
E. Perez,,DDD,true,,,,,,,,,,,,,,
J. Oviendo,,SDS,true,,,,,,,,,,,,,,
K. Harrison,,RSR,true,,,,,,,,,,,,,,
D. Vines,,DD2,true,,,,,,,,,,,,,,
H. Greene,,LDL,true,,,,,,,,,,,,,,
J. Lawrence,,TST,true,,,,,,,,,,,,,,
A. Cobb,,DKD,true,,,,,,,,,,,,,,
M. Kelly,,DLC,true,,,,,,,,,,,,,,
K. Hendricks,,DDD,true,,,,,,,,,,,,,,
B. Snell,,SDS,true,,,,,,,,,,,,,,
C. Sanchez,,RSR,true,,,,,,,,,,,,,,
Z. Gallen,,DD2,true,,,,,,,,,,,,,,
B. Garrett,,LDL,true,,,,,,,,,,,,,,
M. Fried,,TST,true,,,,,,,,,,,,,,
J. Steele,,DKD,true,,,,,,,,,,,,,,
M. Wacha,,DLC,true,,,,,,,,,,,,,,
J. Irvin,,DDD,true,,,,,,,,,,,,,,
R. Suarez,,SDS,true,,,,,,,,,,,,,,
Z. Davies,,RSR,true,,,,,,,,,,,,,,
T. Scott,,DD2,true,,,,,,,,,,,,,,
J. Taillon,,LDL,true,,,,,,,,,,,,,,
C. Morton,,TST,true,,,,,,,,,,,,,,
R. Walker,,DKD,true,,,,,,,,,,,,,,
B. Graterol,,DLC,true,,,,,,,,,,,,,,
B. Miller,,DDD,true,,,,,,,,,,,,,,
K. Senga,,SDS,true,,,,,,,,,,,,,,
F. Peralta,,RSR,true,,,,,,,,,,,,,,
B. Woodruff,,DD2,true,,,,,,,,,,,,,,
M. Gore,,LDL,true,,,,,,,,,,,,,,
L. Webb,,TST,true,,,,,,,,,,,,,,
S. Lugo,,DKD,true,,,,,,,,,,,,,,
W. Miley,,DLC,true,,,,,,,,,,,,,,
R. Yarbrough,,DDD,true,,,,,,,,,,,,,,
J. Assad,,SDS,true,,,,,,,,,,,,,,
M. Keller,,RSR,true,,,,,,,,,,,,,,
M. Lorenzen,,DD2,true,,,,,,,,,,,,,,
T. Walker,,LDL,true,,,,,,,,,,,,,,
J. Luzardo,,TST,true,,,,,,,,,,,,,,
W. Buehler,,DKD,true,,,,,,,,,,,,,,
K. Finnegan,,DLC,true,,,,,,,,,,,,,,
R. Pepiot,,DDD,true,,,,,,,,,,,,,,
P. Sewald,,SDS,true,,,,,,,,,,,,,,
A. Abbott,,RSR,true,,,,,,,,,,,,,,
A. Jackson,,DD2,true,,,,,,,,,,,,,,
J. Wicks,,LDL,true,,,,,,,,,,,,,,
R. Iglesias,,TST,true,,,,,,,,,,,,,,
E. Phillips,,DKD,true,,,,,,,,,,,,,,
C. Kimbrel,,DLC,true,,,,,,,,,,,,,,
J. Hader,,DDD,true,,,,,,,,,,,,,,
D. Williams,,SDS,true,,,,,,,,,,,,,,
Dk. Hudson,,RSR,true,,,,,,,,,,,,,,
J. Romero,,DD2,true,,,,,,,,,,,,,,
L. Sims,,LDL,true,,,,,,,,,,,,,,
D. Robertson,,TST,true,,,,,,,,,,,,,,
A. Diaz,,DKD,true,,,,,,,,,,,,,,
A. Alzolay,,DLC,true,,,,,,,,,,,,,,
C. Doval,,DDD,true,,,,,,,,,,,,,,
S. Ohtani,,SDS,true,,,,,,,,,,,,,,
D. Bednar,,RSR,true,,,,,,,,,,,,,,
D. Peterson,,DD2,true,,,,,,,,,,,,,,
A. Ottavino,,LDL,true,,,,,,,,,,,,,,
B. Elder,,TST,true,,,,,,,,,,,,,,
