period,tab,start_date,end_date
1,Draft,2024-03-28,2024-04-20
2,April 21,2024-04-21,2024-05-18
3,May 19,2024-05-19,2024-06-08
4,June 09,2024-06-09,2024-07-06
5,July 07,2024-07-07,2024-08-03
6,Aug 04,2024-08-04,2024-08-31
7,Sept 01,2024-09-01,2024-09-30
