player_name,mlb_id,team_code,is_pitcher,AB,mlb_team,H,R,HR,RBI,SB,AVG,W,SV,K,IP,ER,ERA,WHIP
X. Edwards,,SDS,false,,MIA,,,,,,,,,,,,,
M. Winn,,RSR,false,,STL,,,,,,,,,,,,,
J. Iglesias,,DD2,false,,,,,,,,,,,,,,,
B. Turang,,LDL,false,,MIL,,,,,,,,,,,,,
T. Estrada,,TST,false,,COL,,,,,,,,,,,,,
J.D. Martinez,,DKD,false,,,,,,,,,,,,,,,
S. Ohtani,,DLC,false,,LAD,,,,,,,,,,,,,
E. Suarez,,DDD,false,,SEA,,,,,,,,,,,,,
J. India,,SDS,false,,,,,,,,,,,,,,,
N. Arenado,,RSR,false,,AZ,,,,,,,,,,,,,
J. Pederson,,DD2,false,,,,,,,,,,,,,,,
J. Burger,,LDL,false,,TEX,,,,,,,,,,,,,
M. Ozuna,,TST,false,,ATL,,,,,,,,,,,,,
E. Diaz,,DKD,true,,SD,,,,,,,,,,,,,
P. Blackburn,,DLC,true,,,,,,,,,,,,,,,
T. Myers,,DDD,true,,MIL,,,,,,,,,,,,,
R. Nelson,,SDS,true,,AZ,,,,,,,,,,,,,
F. Peralta,,RSR,true,,MIL,,,,,,,,,,,,,
B. Pfaadt,,DD2,true,,AZ,,,,,,,,,,,,,
M. Kopech,,LDL,true,,,,,,,,,,,,,,,
M. Fried,,TST,true,,NYY,,,,,,,,,,,,,
J. Musgrove,,DKD,true,,,,,,,,,,,,,,,
D. Hudson,,DLC,true,,,,,,,,,,,,,,,
R. Suarez,,DDD,true,,,,,,,,,,,,,,,
C. Morton,,SDS,true,,ATL,,,,,,,,,,,,,
E. Fedde,,RSR,true,,,,,,,,,,,,,,,
A. Diaz,,DD2,true,,TEX,,,,,,,,,,,,,
B. Treinen,,LDL,true,,,,,,,,,,,,,,,
S. Manaea,,TST,true,,NYM,,,,,,,,,,,,,
R. Iglesias,,DKD,true,,ATL,,,,,,,,,,,,,
J. Steele,,DLC,true,,CHC,,,,,,,,,,,,,
D. Williams,,DDD,true,,,,,,,,,,,,,,,
P. Sewald,,SDS,true,,DET,,,,,,,,,,,,,
H. Neris,,RSR,true,,,,,,,,,,,,,,,
C. Sanchez,,DD2,true,,PHI,,,,,,,,,,,,,
J. Estrada,,LDL,true,,,,,,,,,,,,,,,
J. Taillon,,TST,true,,CHC,,,,,,,,,,,,,
R. Ryan,,DKD,true,,,,,,,,,,,,,,,
Z. Wheeler,,DLC,true,,PHI,,,,,,,,,,,,,
R. Ray,,DDD,true,,SF,,,,,,,,,,,,,
S. Ohtani,,SDS,true,,LAD,,,,,,,,,,,,,
M. Kelly,,RSR,true,,AZ,,,,,,,,,,,,,
N. Lodolo,,DD2,true,,CIN,,,,,,,,,,,,,
A,Banda,,LDL,true,,,,,,,,,,,,,,,
B. Snell,,TST,true,,LAD,,,,,,,,,,,,,
M. Gore,,DKD,true,,WSH,,,,,,,,,,,,,
C. Spiers,,DLC,true,,,,,,,,,,,,,,,
L. Webb,,DDD,true,,SF,,,,,,,,,,,,,
K. Harrison,,SDS,true,,BOS,,,,,,,,,,,,,
S. Schwellenbach,,RSR,true,,ATL,,,,,,,,,,,,,
