player_name,team_code,mlb_team,is_pitcher,position,draft_dollars
C. Encarnacion-Strand,DKD,CIN,false,1B,26
C. Bellinger,DLC,NYY,false,1B,46
R. Hoskins,DDD,MIL,false,1B,27
M. Olson,SDS,ATL,false,1B,34
F. Freeman,RSR,LAD,false,1B,33
S. Steer,DD2,CIN,false,1B,36
C. Walker,LDL,HOU,false,1B,50
P. Alonso,TST,BAL,false,1B,28
K. Marte,DKD,AZ,false,2B,24
B. Stott,DLC,PHI,false,2B,13
J. India,DDD,KC,false,2B,6
H.S. Kim,SDS,ATL,false,2B,30
L. Arraez,RSR,SD,false,2B,16
O. Albies,DD2,ATL,false,2B,29
M. Betts,LDL,LAD,false,2B,36
N. Hoerner,TST,CHC,false,2B,35
E. De La Cruz,DKD,PIT,false,SS,21
E. Tovar,DLC,COL,false,SS,6
F. Lindor,DDD,NYM,false,SS,25
T. Turner,SDS,PHI,false,SS,28
O. Cruz,RSR,PIT,false,SS,23
D. Swanson,DD2,CHC,false,SS,19
W. Adames,LDL,SF,false,SS,20
X. Bogaerts,TST,SD,false,SS,35
E. Suarez,DKD,SEA,false,3B,9
J. Candelario,DLC,,false,3B,9
M. Chapman,DDD,SF,false,3B,10
K. Hayes,SDS,CIN,false,3B,35
N. Arenado,RSR,AZ,false,3B,31
A. Riley,DD2,ATL,false,3B,32
M. Muncy,LDL,LAD,false,3B,13
M. Machado,TST,SD,false,3B,25
M. Harris II,DKD,ATL,false,OF,30
V. Scott,DLC,STL,false,OF,23
D. Carlson,DDD,BAL,false,OF,1
S. Marte,SDS,NYM,false,OF,10
J. Suwinski,RSR,PIT,false,OF,15
N. Castellanos,DD2,PHI,false,OF,26
B. Marsh,LDL,PHI,false,OF,1
B. Donovan,TST,STL,false,OF,2
S. Frelick,DKD,MIL,false,OF,13
R. Acuna Jr.,DLC,,false,OF,54
J. Chourio,DDD,,false,OF,45
J. Sanchez,SDS,HOU,false,OF,4
B. Doyle,RSR,COL,false,OF,5
W. Merrifield,DD2,ATL,false,OF,2
J. Outman,LDL,MIN,false,OF,30
B. De La Cruz,TST,,false,OF,5
J.Chisholm Jr.,DKD,NYY,false,OF,22
C. Carroll,DLC,AZ,false,OF,34
L. Guriel Jr.,DDD,,false,OF,17
J. Soler,SDS,LAA,false,OF,28
B. Nimmo,RSR,TEX,false,OF,19
W. Benson,DD2,CIN,false,OF,8
T. Hernandez,LDL,LAD,false,OF,72
I. Happ,TST,CHC,false,OF,1
F. Tatis Jr.,DKD,SD,false,OF,36
H. Davis,DLC,PIT,false,OF,1
J. Walker,DDD,STL,false,OF,16
C. Blackmon,SDS,COL,false,OF,6
M. Conforto,RSR,LAD,false,OF,1
N. Jones,DD2,CLE,false,OF,23
B. Reynolds,LDL,PIT,false,OF,50
M. Ozuna,TST,ATL,false,DH,30
J. Azocar,DKD,,false,OF,1
S. Suzuki,DLC,CHC,false,OF,24
J-H. Lee,DDD,SF,false,OF,10
C. Yelich,SDS,MIL,false,OF,39
J. Rojas,RSR,CWS,false,OF,1
L. Thomas,DD2,KC,false,OF,30
TJ Friedl,LDL,CIN,false,OF,21
L. Nootbaar,TST,STL,false,OF,11
P. Bailey,DKD,SF,false,C,2
N. Fortes,DLC,TB,false,C,1
F. Alverez,DDD,NYM,false,C,13
T. Stephenson,SDS,CIN,false,C,1
T. d’Arnaud,RSR,LAA,false,C,1
E. Diaz,DD2,SD,false,C,10
W. Contreras,LDL,BOS,false,C,15
Y. Gomes,TST,CHC,false,C,1
G. Sanchez,DKD,,false,C,3
S. Murphy,DLC,ATL,false,C,34
JT. Realmuto,DDD,PHI,false,C,35
G. Moreno,SDS,,false,C,13
William Contreras,RSR,MIL,false,C,36
L. Campusano,DD2,SD,false,C,10
W. Smith,LDL,LAD,false,C,17
K. Ruiz,TST,WSH,false,C,15
M. Busch,DKD,CHC,false,CM,1
R. Tellez,DLC,TEX,false,CM,1
J. Bell,DDD,MIN,false,CM,9
E. Montero,SDS,DET,false,CM,1
R. McMahon,RSR,NYY,false,CM,12
J. Cronenworth,DD2,SD,false,CM,3
A. Bohm,LDL,PHI,false,CM,17
P. Goldschmidt,TST,NYY,false,CM,45
G. Lux,DKD,CIN,false,MI,21
J. Merrill,DLC,SD,false,MI,1
CJ. Abrams,DDD,WSH,false,MI,67
B. Rodgers,SDS,HOU,false,MI,1
T. Edman,RSR,LAD,false,MI,1
M. McLain,DD2,CIN,false,MI,34
J. McNeil,LDL,OAK,false,MI,1
T. Estrada,TST,COL,false,MI,9
N. Gorman,DKD,STL,false,DH,36
S. Ohtani,DLC,LAD,false,DH,35
C. Morel,DDD,MIA,false,DH,20
K. Bryant,SDS,COL,false,DH,12
K. Schwarber,RSR,PHI,false,DH,25
J. Meneses,DD2,,false,DH,1
J. Burger,LDL,TEX,false,DH,28
