period,tab,start_date,end_date
1,Draft,2023-03-30,2023-04-22
2,April 23,2023-04-23,2023-05-20
3,May 21,2023-05-21,2023-06-10
4,June 11,2023-06-11,2023-07-08
5,July 09,2023-07-09,2023-08-05
6,Aug 06,2023-08-06,2023-09-02
7,Sept 03,2023-09-03,2023-10-31
