player_name,team_code,position,is_pitcher,is_keeper
M. Harris II,DKG,OF,FALSE,FALSE
R. Acuna Jr.,DMK,OF,FALSE,FALSE
J. Soto,DDG,OF,FALSE,FALSE
K. Bryant,SKD,OF,FALSE,FALSE
S. Suzuki,RGS,OF,FALSE,FALSE
T. O'Neill,DEV,OF,FALSE,FALSE
M. Betts,LDY,OF,FALSE,FALSE
B. Harper,SHO,OF,FALSE,FALSE
C. Yelich,DKG,OF,FALSE,FALSE
C. Carroll,DMK,OF,FALSE,FALSE
C. Bellinger,DDG,OF,FALSE,FALSE
C. Taylor,SKD,OF,FALSE,FALSE
K. Schwarber,RGS,OF,FALSE,FALSE
I. Happ,DEV,OF,FALSE,FALSE
N. Castellanos,LDY,OF,FALSE,FALSE
B. Reynolds,SHO,OF,FALSE,FALSE
J. Outman,DKG,OF,FALSE,FALSE
J. McCarthy,DMK,OF,FALSE,FALSE
C. Morel,DDG,OF,FALSE,FALSE
J. McNeil,SKD,OF,FALSE,FALSE
A. Thomas,RGS,OF,FALSE,FALSE
J. Meneses,DEV,OF,FALSE,FALSE
M. Conforto,LDY,OF,FALSE,FALSE
S. Marte,SHO,OF,FALSE,FALSE
L. Nootbaar,DKG,OF,FALSE,FALSE
J. Pederson,DMK,OF,FALSE,FALSE
J. Fraley,DDG,OF,FALSE,FALSE
J. Soler,SKD,OF,FALSE,FALSE
A. McCutchen,RGS,OF,FALSE,FALSE
G. Mitchell,DEV,OF,FALSE,FALSE
L. Thomas,LDY,OF,FALSE,FALSE
B. Nimmo,SHO,OF,FALSE,FALSE
N. Haniger,DKG,1B,FALSE,FALSE
M. Ozuna,DMK,1B,FALSE,FALSE
T. Grisham,DDG,1B,FALSE,FALSE
TJ. Friedl,SKD,1B,FALSE,FALSE
J. Suwinski,RGS,1B,FALSE,FALSE
M. Canha,DEV,1B,FALSE,FALSE
T. Thompson,LDY,1B,FALSE,FALSE
L. Gurriel,SHO,1B,FALSE,FALSE
E. Hosmer,DKG,2B,FALSE,FALSE
T. Mancici,DMK,2B,FALSE,FALSE
R. Hoskins,DDG,2B,FALSE,FALSE
M. Olson,SKD,2B,FALSE,FALSE
F. Freeman,RGS,2B,FALSE,FALSE
