player_name,team_code,mlb_team,is_pitcher,position,draft_dollars
M. Scherzer,RSR,,true,P,24
A. Nola,DD2,,true,P,24
D. May,LDL,,true,P,12
S. Alcantara,TST,,true,P,21
C. Kershaw,DKD,,true,P,23
Z. Wheeler,DLC,,true,P,39
S. Manaea,DDD,,true,P,1
J. Verlander,SDS,,true,P,41
Y. Darvish,RSR,,true,P,35
B. Woodruff,DD2,,true,P,21
H. Greene,LDL,,true,P,30
M. Fried,TST,,true,P,41
A. Cobb,DKD,,true,P,4
M. Kelly,DLC,,true,P,10
Jos. Grey,DDD,,true,P,8
M. Mikolas,SDS,,true,P,11
N. Lodolo,RSR,,true,P,32
Z. Gallen,DD2,,true,P,30
T. Gonsolin,LDL,,true,P,18
J. Musgrove,TST,,true,P,22
J. Steele,DKD,,true,P,6
J. Flaherty,DLC,,true,P,15
M. Keller,DDD,,true,P,2
J. Montgomery,SDS,,true,P,10
M. Stroman,RSR,,true,P,4
N. Syndergaard,DD2,,true,P,12
K. Wright,LDL,,true,P,25
C. Morton,TST,,true,P,17
T. Walker,DKD,,true,P,14
E. Lauer,DLC,,true,P,9
R. Pepiot,DDD,,true,P,8
K. Senga,SDS,,true,P,20
F. Peralta,RSR,,true,P,16
J. Taillon,DD2,,true,P,10
M. Gore,LDL,,true,P,12
L. Webb,TST,,true,P,22
J. Brubaker,DKD,,true,P,1
G. Ashcraft,DLC,,true,P,1
E. Cabrera,DDD,,true,P,2
S. Ohtani,SDS,,true,P,7
R. Contreras,RSR,,true,P,5
Tr. Rogers,DD2,,true,P,1
R. Stripling,LDL,,true,P,5
J. Luzardo,TST,,true,P,12
W. Buehler,DKD,,true,P,1
A. Vesia,DLC,,true,P,4
C. Carasco,DDD,,true,P,6
AJ. Minter,SDS,,true,P,1
A. Puk,RSR,,true,P,1
H. Wesneski,DD2,,true,P,6
B. Graterol,LDL,,true,P,1
R. Suarez,TST,,true,P,1
E. Phillips,DKD,,true,P,30
S. Dominguez,DLC,,true,P,16
J. Hader,DDD,,true,P,39
D. Bard,SDS,,true,P,10
B. Hughes,RSR,,true,P,25
K. Finnegan,DD2,,true,P,5
C. Krimbrel,LDL,,true,P,1
D. Robertson,TST,,true,P,8
A. Diaz,DKD,,true,P,21
R. Helsley,DLC,,true,P,30
D. Williams,DDD,,true,P,34
C. Doval,SDS,,true,P,23
D. Bednar,RSR,,true,P,26
S. McGough,DD2,,true,P,5
D. Floro,LDL,,true,P,6
R. Iglesias,TST,,true,P,21
