player_name,team_code,mlb_team,is_pitcher,position,draft_dollars
M. Harris II,DKD,,false,OF,32
R. Acuna Jr.,DLC,,false,OF,43
J. Soto,DDD,,false,OF,41
K. Bryant,SDS,,false,OF,22
S. Suzuki,RSR,,false,OF,22
T. O'Neill,DD2,,false,OF,40
M. Betts,LDL,,false,OF,38
B. Harper,TST,,false,OF,3
C. Yelich,DKD,,false,OF,48
C. Carroll,DLC,,false,OF,25
C. Bellinger,DDD,,false,OF,27
C. Taylor,SDS,,false,OF,3
K. Schwarber,RSR,,false,OF,42
I. Happ,DD2,,false,OF,20
N. Castellanos,LDL,,false,OF,30
B. Reynolds,TST,,false,OF,30
J. Outman,DKD,,false,OF,19
J. McCarthy,DLC,,false,OF,39
C. Morel,DDD,,false,OF,19
J. McNeil,SDS,,false,OF,29
A. Thomas,RSR,,false,OF,1
J. Meneses,DD2,,false,OF,28
M. Conforto,LDL,,false,OF,21
S. Marte,TST,,false,OF,50
L. Nootbaar,DKD,,false,OF,11
J. Pederson,DLC,,false,OF,2
J. Fraley,DDD,,false,OF,1
J. Soler,SDS,,false,OF,5
A. McCutchen,RSR,,false,OF,1
G. Mitchell,DD2,,false,OF,1
L. Thomas,LDL,,false,OF,20
B. Nimmo,TST,,false,OF,15
N. Haniger,DKD,,false,OF,2
M. Ozuna,DLC,,false,OF,1
T. Grisham,DDD,,false,OF,1
TJ. Friedl,SDS,,false,OF,2
J. Suwinski,RSR,,false,OF,1
M. Canha,DD2,,false,OF,1
T. Thompson,LDL,,false,OF,1
L. Gurriel,TST,,false,OF,1
E. Hosmer,DKD,,false,1B,1
T. Mancici,DLC,,false,1B,8
R. Hoskins,DDD,,false,1B,22
M. Olson,SDS,,false,1B,59
F. Freeman,RSR,,false,1B,36
R. Tellez,DD2,,false,1B,26
M. Vargas,LDL,,false,1B,15
P. Alonso,TST,,false,1B,33
J.Chisholm Jr.,DKD,,false,2B,28
T. Estrada,DLC,,false,2B,21
T. Edman,DDD,,false,2B,40
J. India,SDS,,false,2B,21
B. Stott,RSR,,false,2B,15
O. Albies,DD2,,false,2B,28
M. Muncy,LDL,,false,2B,38
L. Arraez,TST,,false,2B,17
K. Hayes,DKD,,false,3B,36
E. Escobar,DLC,,false,3B,2
J. Walker,DDD,,false,3B,16
A. Riley,SDS,,false,3B,34
A. Bohm,RSR,,false,3B,24
N. Arenado,DD2,,false,3B,28
E. Montero,LDL,,false,3B,1
M. Machado,TST,,false,3B,32
F. Tatis Jr.,DKD,,false,SS,32
D. Swanson,DLC,,false,SS,39
F. Lindor,DDD,,false,SS,24
T. Turner,SDS,,false,SS,37
O. Cruz,RSR,,false,SS,26
W. Adames,DD2,,false,SS,24
X. Bogaerts,LDL,,false,SS,36
E. Tovar,TST,,false,SS,20
W. Contreras,DKD,,false,C,20
JT. Realmuto,DLC,,false,C,29
J. Bart,DDD,,false,C,2
T. Stephenson,SDS,,false,C,26
S. Murphy,RSR,,false,C,25
Wm. Contreras,DD2,,false,C,26
W. Smith,LDL,,false,C,25
T. d'Arnaud,TST,,false,C,4
K. Ruiz,DKD,,false,C,14
"A, Barnes",DLC,,false,C,1
F. Alverez,DDD,,false,C,21
N. Fortes,SDS,,false,C,1
E. Diaz,RSR,,false,C,7
Y. Gomes,DD2,,false,C,1
O. Navaez,LDL,,false,C,3
G. Moreno,TST,,false,C,1
H. Kim,DKD,,false,CM,1
W. Myers,DLC,,false,CM,2
P. Wisdom,DDD,,false,CM,1
G. Cooper,SDS,,false,CM,1
C. Walker,RSR,,false,CM,29
R. McMahon,DD2,,false,CM,27
J. Cronenworth,LDL,,false,CM,16
J. Candelario,TST,,false,CM,1
"N, Hoerner",DKD,,false,MI,22
L. Urias,DLC,,false,MI,14
J. Rojas,DDD,,false,MI,5
J. Segura,SDS,,false,MI,5
W. Flores,RSR,,false,MI,2
Lu. Garcia,DD2,,false,MI,7
CJ. Abrams,LDL,,false,MI,21
J. Berti,TST,,false,MI,9
CJ. Cron,DKD,,false,DH,31
S. Ohtani,DLC,,false,DH,40
P. Goldschmidt,DDD,,false,DH,30
C. Blackmon,SDS,,false,DH,9
J. Winker,RSR,,false,DH,1
D. Hall,DD2,,false,DH,1
JD. Martinez,LDL,,false,DH,40
K. Marte,TST,,false,DH,19
J. Urias,DKD,,true,P,16
C. Burnes,DLC,,true,P,27
B. Snell,DDD,,true,P,33
S. Strider,SDS,,true,P,23
