player_name,team_code,position,is_pitcher
Jn. Baker,DKG,C,FALSE
B. Molina,DMK,C,FALSE
J. Bard,DDG,C,FALSE
B. McCann,SKD,C,FALSE
R. Doumit,RGS,C,FALSE
N. Hundley,DKG,C,FALSE
C. Ruiz,DMK,C,FALSE
P. Sandoval,DDG,C,FALSE
M. Montero,SKD,C,FALSE
O. Santos,RGS,C,FALSE
N. Johnson,DKG,1B,FALSE
D. Murphy,DMK,1B,FALSE
Ad. Gonzalez,DDG,1B,FALSE
J. Votto,SKD,1B,FALSE
R. Howard,RGS,1B,FALSE
O. Hudson,DKG,2B,FALSE
F. Lopez,DMK,2B,FALSE
B. Phillips,DDG,2B,FALSE
E. Velez,SKD,2B,FALSE
K. Matsui,RGS,2B,FALSE
T. Tulowitzki,DKG,SS,FALSE
J. Uribe,DMK,SS,FALSE
S. Drew,DDG,SS,FALSE
J. Rollins,SKD,SS,FALSE
J. Lugo,RGS,SS,FALSE
C. Blake,DKG,3B,FALSE
M. Reynolds,DMK,3B,FALSE
R. Zimmerman,DDG,3B,FALSE
J. Cantu,SKD,3B,FALSE
C. Counsil,RGS,3B,FALSE
J. Reyes,DKG,MI,FALSE
H. Ramirez,DMK,MI,FALSE
Y. Escobar,DDG,MI,FALSE
M. Tejada,SKD,MI,FALSE
S. Schumaker,RGS,MI,FALSE
K. Kouzmanoff,DKG,??,FALSE
P. Feliz,DMK,??,FALSE
S. Rolen,DDG,??,FALSE
M. Prado,SKD,??,FALSE
D. Lee,RGS,??,FALSE
M. Kemp,DKG,OF,FALSE
R. Ludwick,DMK,OF,FALSE
C. Beltran,DDG,OF,FALSE
J. Upton,SKD,OF,FALSE
A. Soriano,RGS,OF,FALSE
C.B. Young,DKG,OF,FALSE
H. Pence,DMK,OF,FALSE
A. Ethier,DDG,OF,FALSE
J. Francoeur,SKD,OF,FALSE
A. Dunn,RGS,OF,FALSE
C. Maybin,DKG,OF,FALSE
R. Ibanez,DMK,OF,FALSE
C. Gonzalez,DDG,OF,FALSE
J. Werth,SKD,OF,FALSE
B. Hawpe,RGS,OF,FALSE
L. Milledge,DKG,OF,FALSE
C. Coghlan,DMK,OF,FALSE
K. Fukudome,DDG,OF,FALSE
J. Bruce,SKD,OF,FALSE
M. Bourn,RGS,OF,FALSE
A. Rowand,DKG,OF,FALSE
C. Ross,DMK,OF,FALSE
J. Willingham,DDG,OF,FALSE
M. Holiday,SKD,OF,FALSE
G. Jones,RGS,OF,FALSE
E. Cabrera,DKG,R,FALSE
C. Rasmus,DMK,R,FALSE
J. Fox,DDG,R,FALSE
B. Allen,SKD,R,FALSE
A. McCutchen,RGS,R,FALSE
D. Haren,DKG,P,TRUE
R. Nolasco,DMK,P,TRUE
R. Vandenhurk,DDG,P,TRUE
M. Cain,SKD,P,TRUE
J. Peavy,RGS,P,TRUE
R. Oswalt,DKG,P,TRUE
J. De La Rosa,DMK,P,TRUE
J. Contreras,DDG,P,TRUE
T. Lilly,SKD,P,TRUE
J. Santana,RGS,P,TRUE
C. Volstad,DKG,P,TRUE
A. Wainwright,DMK,P,TRUE
K. Correia,DDG,P,TRUE
V. Padilla,SKD,P,TRUE
C. Hamels,RGS,P,TRUE
H. Bailey,DKG,P,TRUE
C. Lee,DMK,P,TRUE
J. Jurrjens,DDG,P,TRUE
P. Maholm,SKD,P,TRUE
B. Arroyo,RGS,P,TRUE
C. Billingsley,DKG,P,TRUE
D. Lowe,DMK,P,TRUE
T. Stauffer,DDG,P,TRUE
B. Penny,SKD,P,TRUE
R. Wolf,RGS,P,TRUE
T. Hudson,DKG,P,TRUE
J. Sanchez,DMK,P,TRUE
J. Hammel,DDG,P,TRUE
Js. Johnson,SKD,P,TRUE
M. Scherzer,RGS,P,TRUE
W. Rodriguez,DKG,P,TRUE
R. Ohlendorf,DMK,P,TRUE
J. Marquis,DDG,P,TRUE
C. Carpenter,SKD,P,TRUE
R. Harden,RGS,P,TRUE
J. Broxton,DKG,P,TRUE
C. Marmol,DMK,P,TRUE
H. Bell,DDG,P,TRUE
R. Soriano,SKD,P,TRUE
R. Dempster,RGS,P,TRUE
J. Valverde,DKG,P,TRUE
M. Capps,DMK,P,TRUE
L. Nunez,DDG,P,TRUE
F. Cordero,SKD,P,TRUE
B. Lidge,RGS,P,TRUE
