period,tab,start_date,end_date
1,Draft,2009-04-05,2009-05-04
2,May 5,2009-05-05,2009-05-30
3,May 31,2009-05-31,2009-06-20
4,June 21,2009-06-21,2009-07-11
5,July 12,2009-07-12,2009-08-08
6,Aug 9,2009-08-09,2009-09-08
7,Sept 9,2009-09-09,2009-10-31
