playerName,fullName,mlbId,teamCode,position,isPitcher
"A","",Rosario,,"",false
"J","",Candelario,,"",false
"A. Burleson","Alec Burleson",676475,DD2,"",false
"A. Diaz","Alexis Díaz",664747,DD2,"",true
"A. Riley","Austin Riley",663586,DD2,"",false
"B. Pfaadt","Brandon Pfaadt",694297,DD2,"",true
"C. Norby","Connor Norby",681393,DD2,"CM",false
"C. Sanchez","Cristopher Sánchez",650911,DD2,"",true
"D. Swanson","Dansby Swanson",621020,DD2,"",false
"E. Diaz","Elias Díaz",553869,DD2,"",false
"H. Ramos","Heliot Ramos",671218,DD2,"",false
"J. Cronenworth","Jake Cronenworth",630105,DD2,"",false
"J. Luzardo","Jesús Luzardo",666200,DD2,"",true
"J. Meneses","Joey Meneses",608841,DD2,"",false
"J. Quintana","Jose Quintana",500779,DD2,"P",true
"J. Sanchez","Jesús Sánchez",660821,DD2,"OF",false
"K. Finnegan","Kyle Finnegan",640448,DD2,"",true
"K. Harrison","Kyle Harrison",690986,DD2,"",true
"L. Campusano","Luis Campusano",669134,DD2,"",false
"L. Thomas","Lane Thomas",657041,DD2,"",false
"M. Kelly","Merrill Kelly",518876,DD2,"",true
"M. McLain","Matt McLain",680574,DD2,"",false
"M. Vientos","Mark Vientos",668901,DD2,"",false
"N. Castellanos","Nick Castellanos",592206,DD2,"",false
"N. Jones","Nolan Jones",666134,DD2,"OF",false
"O. Albies","Ozzie Albies",645277,DD2,"",false
"S. Imanaga","Shota Imanaga",684007,DD2,"",true
"S. Steer","Spencer Steer",668715,DD2,"",false
"S. Strider","Spencer Strider",675911,DD2,"P",true
"W. Benson","Will Benson",666181,DD2,"",false
"W. Buehler","Walker Buehler",621111,DD2,"",true
"W. Merrifield","Whit Merrifield",593160,DD2,"",false
"Z. Gallen","Zac Gallen",668678,DD2,"P",true
"C. Doval","Camilo Doval",666808,DDD,"",true
"CJ. Abrams","CJ Abrams",682928,DDD,"",false
"E. Suarez","Eugenio Suárez",553993,DDD,"3B",false
"F. Alvarez","Francisco Alvarez",682626,DDD,"C",false
"F. Lindor","Francisco Lindor",596019,DDD,"",false
"J. Chourio","Jackson Chourio",694192,DDD,"",false
"J. McCarthy","Jake McCarthy",664983,DDD,"OF",false
"J. Walker","Jordan Walker",691023,DDD,"",false
"J. Wood","James Wood",695578,DDD,"OF",false
"L. Garcia","Luis García Jr.",671277,DDD,"",false
"L. Webb","Logan Webb",657277,DDD,"",true
"M. Chapman","Matt Chapman",656305,DDD,"",false
"R. Hoskins","Rhys Hoskins",656555,DDD,"",false
"T. Myers","Tobias Myers",668964,DDD,"",true
"D. Crews","Dylan Crews",686611,DKD,"OF",false
"E. De La Cruz","Oneil Cruz",665833,DKD,"",false
"E. Diaz","Elias Díaz",553869,DKD,"",true
"F. Tatis Jr.","Fernando Tatis Jr.",665487,DKD,"",false
"J. Bell","Josh Bell",605137,DKD,"",false
"J. Bride","Jonah Bride",681146,DKD,"CM",false
"J. Winker","Jesse Winker",608385,DKD,"",false
"K. Marte","Ketel Marte",606466,DKD,"",false
"K. Ruiz","Keibert Ruiz",660688,DKD,"",false
"L. Arraez","Luis Arraez",650333,DKD,"DH",false
"M. Gore","MacKenzie Gore",669022,DKD,"",true
"M. Harris II","Michael Harris II",671739,DKD,"",false
"M. Keller","Mitch Keller",656605,DKD,"",true
"P. Bailey","Patrick Bailey",672275,DKD,"",false
"R. Iglesias","Raisel Iglesias",628452,DKD,"",true
"T. Fitzgerald","Tyler Fitzgerald",666149,DKD,"",false
"T. Glasnow","Tyler Glasnow",607192,DKD,"",true
"A. Nola","Aaron Nola",605400,DLC,"P",true
"B. Stott","Bryson Stott",681082,DLC,"2B",false
"C. Carroll","Corbin Carroll",682998,DLC,"",false
"C. Faucher","Calvin Faucher",676534,DLC,"P",true
"E. Tovar","Ezequiel Tovar",678662,DLC,"MI",false
"J. Merrill","Jackson Merrill",701538,DLC,"",false
"J. Profar","Jurickson Profar",595777,DLC,"",false
"J. Steele","Justin Steele",657006,DLC,"",true
"M. Toglia","Michael Toglia",669911,DLC,"",false
"O. Lopez","Nicky Lopez",670032,DLC,"2B",false
"P. Skenes","Paul Skenes",694973,DLC,"",true
"R. Acuna Jr.","Ronald Acuña Jr.",660670,DLC,"",false
"R. Lopez","Reynaldo López",625643,DLC,"",true
"S. Murphy","Sean Murphy",669221,DLC,"",false
"S. Ohtani","Shohei Ohtani",660271,DLC,"DH",false
"S. Suzuki","Seiya Suzuki",673548,DLC,"OF",false
"Z. Wheeler","Zack Wheeler",554430,DLC,"",true
"A. Bohm","Alec Bohm",664761,LDL,"",false
"B. Marsh","Brandon Marsh",669016,LDL,"",false
"B. Reynolds","Bryan Reynolds",668804,LDL,"",false
"B. Turang","Brice Turang",668930,LDL,"",false
"H. Bader","Harrison Bader",664056,LDL,"",false
"M. Betts","Mookie Betts",605141,LDL,"",false
"M. Muncy","Max Muncy",571970,LDL,"",false
"M. Strahm","Matt Strahm",621381,LDL,"P",true
"P. Crow-Armstrong","Pete Crow-Armstrong",691718,LDL,"",false
"T. Hernandez","Enrique Hernández",571771,LDL,"",false
"W. Adames","Willy Adames",642715,LDL,"",false
"W. Smith","Will Smith",669257,LDL,"",false
"Y. Darvish","Yu Darvish",506433,LDL,"P",true
"B. Doyle","Brenton Doyle",686668,RSR,"",false
"B. Nimmo","Brandon Nimmo",607043,RSR,"",false
"D. Bednar","David Bednar",670280,RSR,"",true
"E. Fedde","Erick Fedde",607200,RSR,"P",true
"F. Freeman","Freddie Freeman",518692,RSR,"",false
"F. Peralta","Freddy Peralta",642547,RSR,"",true
"J. Jones","Jared Jones",683003,RSR,"P",true
"M. Conforto","Michael Conforto",624424,RSR,"",false
"M. Kelly","Merrill Kelly",518876,RSR,"",true
"M. Winn","Masyn Winn",691026,RSR,"",false
"N. Arenado","Nolan Arenado",571448,RSR,"",false
"O. Cruz","Oneil Cruz",665833,RSR,"",false
"R. McMahon","Ryan McMahon",641857,RSR,"3B",false
"R. Walker","Ryan Walker",676254,RSR,"P",true
"S. Schwellenbach","Spencer Schwellenbach",680885,RSR,"P",true
"T. Edman","Tommy Edman",669242,RSR,"",false
"T. Megill","Trevor Megill",656730,RSR,"P",true
"Wilm. Contreras","William Contreras",661388,RSR,"",false
"Y. Yamamoto","Yoshinobu Yamamoto",808967,RSR,"",true
"A. McCutchen","Andrew McCutchen",457705,SDS,"",false
"C. Sale","Chris Sale",519242,SDS,"",true
"D. Cease","Dylan Cease",656302,SDS,"",true
"G. Lux","Gavin Lux",666158,SDS,"",false
"J. McNeil","Jeff McNeil",643446,SDS,"",false
"K. Harrison","Kyle Harrison",690986,SDS,"",true
"M. Olson","Matt Olson",621566,SDS,"",false
"R. Helsley","Ryan Helsley",664854,SDS,"",true
"R. Laureano","Ramón Laureano",657656,SDS,"RF",false
"R. Nelson","Ryne Nelson",669194,SDS,"P",true
"S. Ohtani","Shohei Ohtani",660271,SDS,"",true
"T. Scott","Tanner Scott",656945,SDS,"",true
"T. Stephenson","Tyler Stephenson",663886,SDS,"",false
"T. Turner","Trea Turner",607208,SDS,"",false
"X. Edwards","Xavier Edwards",669364,SDS,"",false
"B. Donovan","Brendan Donovan",680977,TST,"",false
"B. Harper","Bryce Harper",547180,TST,"",false
"B. Snell","Blake Snell",605483,TST,"",true
"D. Peterson","David Peterson",656849,TST,"P",true
"I. Happ","Ian Happ",664023,TST,"",false
"J. Martinez","Justin Martinez",679885,TST,"P",true
"J. Young","Jacob Young",696285,TST,"",false
"M. King","Michael King",650633,TST,"",true
"M. Machado","Manny Machado",592518,TST,"",false
"M. Ozuna","Marcell Ozuna",542303,TST,"",false
"N. Hoerner","Nico Hoerner",663538,TST,"",false
"P. Alonso","Pete Alonso",624413,TST,"",false
"S. Gray","Sonny Gray",543243,TST,"",true
"S. Manaea","Sean Manaea",640455,TST,"P",true
"X. Bogaerts","Xander Bogaerts",593428,TST,"",false
