team_code,team_name,R_score,HR_score,RBI_score,SB_score,AVG_score,W_score,SV_score,K_score,ERA_score,WHIP_score,total_score,final_rank
DKG,Diamond Kings,,,,,,,,,,,196.5,8
DMK,Demolition Lumber Co.,,,,,,,,,,,267.5,5
DDG,Dodger Dawgs,,,,,,,,,,,297.5,3
SKD,Skunk Dogs,,,,,,,,,,,277.0,4
RGS,RGing Sluggers,,,,,,,,,,,317.0,2
DEV,Devil Dawgs,,,,,,,,,,,228.5,7
LDY,Los Doyers,,,,,,,,,,,238.5,6
SHO,The Show,,,,,,,,,,,337.5,1
