player_name,mlb_id,team_code,is_pitcher,position,draft_dollars,AB,H,R,HR,RBI,SB,AVG,W,SV,K,IP,ER,ERA,WHIP
M. Shaw,,LDL,false,CM,7,,,,,,,,,,,,,,
B. Harper,,TST,false,CM,29,,,,,,,,,,,,,,
W. Adames,,DKD,false,MI,26,,,,,,,,,,,,,,
L. Acuna,,DLC,false,MI,1,,,,,,,,,,,,,,
CJ. Abrams,,DDD,false,MI,24,,,,,,,,,,,,,,
X. Edwards,,SDS,false,MI,40,,,,,,,,,,,,,,
E. Tovar,,RSR,false,MI,27,,,,,,,,,,,,,,
G. Perdomo,,DD2,false,MI,1,,,,,,,,,,,,,,
M. Winn,,LDL,false,MI,14,,,,,,,,,,,,,,
B. Turang,,TST,false,MI,20,,,,,,,,,,,,,,
L. Arraez,,DKD,false,DH,6,,,,,,,,,,,,,,
S. Ohtani,,DLC,false,DH,45,,,,,,,,,,,,,,
C. Yelich,,DDD,false,DH,24,,,,,,,,,,,,,,
K. Marte,,SDS,false,DH,51,,,,,,,,,,,,,,
K. Schwaber,,RSR,false,DH,63,,,,,,,,,,,,,,
M. Ozuna,,DD2,false,DH,40,,,,,,,,,,,,,,
A. McCutchen,,LDL,false,DH,1,,,,,,,,,,,,,,
J. Bell,,TST,false,DH,8,,,,,,,,,,,,,,
T. Glasnow,,DKD,true,P,17,,,,,,,,,,,,,,
P. Skenes,,DLC,true,P,25,,,,,,,,,,,,,,
C. Burnes,,DDD,true,P,70,,,,,,,,,,,,,,
C. Sale,,SDS,true,P,22,,,,,,,,,,,,,,
Y. Yamamoto,,RSR,true,P,17,,,,,,,,,,,,,,
J. Steele,,DD2,true,P,26,,,,,,,,,,,,,,
S. Alcantara,,LDL,true,P,19,,,,,,,,,,,,,,
B. Snell,,TST,true,P,19,,,,,,,,,,,,,,
R. Sasaki,,DKD,true,P,102,,,,,,,,,,,,,,
Z. Wheeler,,DLC,true,P,75,,,,,,,,,,,,,,
S. Strider,,DDD,true,P,10,,,,,,,,,,,,,,
S. Ohtani,,SDS,true,P,11,,,,,,,,,,,,,,
L. Webb,,RSR,true,P,42,,,,,,,,,,,,,,
H. Greene,,DD2,true,P,26,,,,,,,,,,,,,,
K. Senga,,LDL,true,P,5,,,,,,,,,,,,,,
D. Cease,,TST,true,P,62,,,,,,,,,,,,,,
Y. Darvish,,DKD,true,P,9,,,,,,,,,,,,,,
M. King,,DLC,true,P,37,,,,,,,,,,,,,,
S. Schwellenbach,,DDD,true,P,26,,,,,,,,,,,,,,
A. Nola,,SDS,true,P,32,,,,,,,,,,,,,,
S. Imanaga,,RSR,true,P,46,,,,,,,,,,,,,,
M. Kelly,,DD2,true,P,9,,,,,,,,,,,,,,
R. Ray,,LDL,true,P,13,,,,,,,,,,,,,,
N. Lodolo,,TST,true,P,10,,,,,,,,,,,,,,
M. Keller,,DKD,true,P,4,,,,,,,,,,,,,,
I. Anderson,,DLC,true,P,1,,,,,,,,,,,,,,
F. Peralta,,DDD,true,P,24,,,,,,,,,,,,,,
B. Pfaadt,,SDS,true,P,5,,,,,,,,,,,,,,
A. Abbott,,RSR,true,P,1,,,,,,,,,,,,,,
S. Gray,,DD2,true,P,26,,,,,,,,,,,,,,
N. Pivetta,,LDL,true,P,11,,,,,,,,,,,,,,
S. Manea,,TST,true,P,5,,,,,,,,,,,,,,
Ra. Suarez,,DKD,true,P,9,,,,,,,,,,,,,,
E. Rodriguez,,DLC,true,P,1,,,,,,,,,,,,,,
Z. Gallen,,DDD,true,P,20,,,,,,,,,,,,,,
C. Sanchez,,SDS,true,P,9,,,,,,,,,,,,,,
B. Singer,,RSR,true,P,5,,,,,,,,,,,,,,
D. Peterson,,DD2,true,P,2,,,,,,,,,,,,,,
D. May,,LDL,true,P,8,,,,,,,,,,,,,,
J. Taillon,,TST,true,P,3,,,,,,,,,,,,,,
J. Verlander,,DKD,true,P,6,,,,,,,,,,,,,,
T. Myers,,DLC,true,P,1,,,,,,,,,,,,,,
M. Gore,,DDD,true,P,7,,,,,,,,,,,,,,
J. Luzardo,,SDS,true,P,5,,,,,,,,,,,,,,
J. Jones,,RSR,true,P,10,,,,,,,,,,,,,,
R. Lopez,,DD2,true,P,16,,,,,,,,,,,,,,
M. Mikolas,,LDL,true,P,1,,,,,,,,,,,,,,
C. Holmes,,TST,true,P,2,,,,,,,,,,,,,,
J. Romano,,DKD,true,P,8,,,,,,,,,,,,,,
A.J. Puk,,DLC,true,P,1,,,,,,,,,,,,,,
C. Doval,,DDD,true,P,1,,,,,,,,,,,,,,
D. Bednar,,SDS,true,P,10,,,,,,,,,,,,,,
E. Fedde,,RSR,true,P,1,,,,,,,,,,,,,,
G. Holmes,,DD2,true,P,4,,,,,,,,,,,,,,
C. Quantrill,,LDL,true,P,1,,,,,,,,,,,,,,
N. Cortes,,TST,true,P,1,,,,,,,,,,,,,,
E. Diaz,,DKD,true,P,30,,,,,,,,,,,,,,
K. Yates,,DLC,true,P,2,,,,,,,,,,,,,,
Ro. Suarez,,DDD,true,P,16,,,,,,,,,,,,,,
T. Megill,,SDS,true,P,17,,,,,,,,,,,,,,
K. Harrison,,RSR,true,P,1,,,,,,,,,,,,,,
J. Martinez,,DD2,true,P,5,,,,,,,,,,,,,,
E. Philips,,LDL,true,P,1,,,,,,,,,,,,,,
K. Finnegan,,TST,true,P,8,,,,,,,,,,,,,,
T. Scott,,DKD,true,P,29,,,,,,,,,,,,,,
R. Pressly,,DLC,true,P,4,,,,,,,,,,,,,,
R. Helsley,,DDD,true,P,15,,,,,,,,,,,,,,
A. Diaz,,SDS,true,P,10,,,,,,,,,,,,,,
C. Faucher,,RSR,true,P,1,,,,,,,,,,,,,,
R. Walker,,DD2,true,P,18,,,,,,,,,,,,,,
T. Kinley,,LDL,true,P,1,,,,,,,,,,,,,,
R. Iglesias,,TST,true,P,31,,,,,,,,,,,,,,
