player_name,team_code,mlb_team,position,is_pitcher,is_keeper,draft_dollars,R,HR,RBI,SB,AVG,GS,W,SV,K,ERA,WHIP,SO
"Matt Chapman",RGS,SF,3B,FALSE,FALSE,0,16,3,11,0,.238,0,0,0,0,0.00,0.00,0
"Andrew McCutchen",RGS,PIT,OF,FALSE,FALSE,0,8,1,7,0,.191,0,0,0,0,0.00,0.00,0
"Sandy Alcantara",RGS,MIA,P,TRUE,FALSE,0,0,0,0,0,.000,0,4,0,29,3.21,0.95,0
"Edwin Perez",RGS,UNK,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Ryan Walker",RGS,SF,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,5,7,7.88,2.38,0
"Brady Singer",RGS,CIN,P,TRUE,FALSE,0,0,0,0,0,.000,0,3,0,31,3.90,1.08,0
"Heliot Ramos",DVD,SF,OF,FALSE,FALSE,0,17,5,12,0,.217,0,0,0,0,0.00,0.00,0
"Bryson Stott",LDL,PHI,2B,FALSE,FALSE,0,10,4,12,1,.310,0,0,0,0,0.00,0.00,0
"Robbie Ray",LDL,SF,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,0,23,7.85,1.64,0
"Edwin Pagan",LDL,UNK,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Isiah Kiner-Falefa",TSH,TOR,SS,FALSE,FALSE,0,5,1,5,0,.233,0,0,0,0,0.00,0.00,0
"KB.. Hayes",DMK,UNK,CM,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"H-S. Kim",DMK,UNK,MI,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Tyler Stephenson",DMK,CIN,C,FALSE,FALSE,0,8,4,14,0,.255,0,0,0,0,0.00,0.00,0
"Roki Sasaki",DMK,LAD,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,4,0.00,0.50,0
"Luis Arraez",DMK,SD,DH,FALSE,FALSE,0,11,2,12,2,.344,0,0,0,0,0.00,0.00,0
"E. Diaz",DMK,UNK,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Michael Busch",DLC,CHC,1B,FALSE,FALSE,0,16,8,14,0,.247,0,0,0,0,0.00,0.00,0
"Otto Lopez",DLC,MIA,2B,FALSE,FALSE,0,10,3,12,3,.253,0,0,0,0,0.00,0.00,0
"Emmet Sheehan",DMK,LAD,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,0,35,1.42,0.67,0
"R. Acuna Jr.",DLC,UNK,OF,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Dalton Rushing",DLC,LAD,C,FALSE,FALSE,0,3,1,3,0,.258,0,0,0,0,0.00,0.00,0
"Gabriel Moreno",DLC,AZ,C,FALSE,FALSE,0,10,2,11,1,.307,0,0,0,0,0.00,0.00,0
"Jakob Marsee",DLC,MIA,OF,FALSE,FALSE,0,12,1,8,5,.243,0,0,0,0,0.00,0.00,0
"Andrew Vaughn",DLC,MIL,CM,FALSE,FALSE,0,4,0,6,0,.350,0,0,0,0,0.00,0.00,0
"Paul Skenes",DLC,PIT,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,0,29,1.31,0.92,0
"Tommy Edman",DLC,LAD,MI,FALSE,FALSE,0,6,1,5,0,.209,0,0,0,0,0.00,0.00,0
"Daniel Palencia",DLC,CHC,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,1,5,14.73,2.45,0
"Jared Triolo",DDG,PIT,3B,FALSE,FALSE,0,12,2,6,4,.229,0,0,0,0,0.00,0.00,0
"Spencer Steer",DDG,CIN,1B,FALSE,FALSE,0,11,4,12,1,.259,0,0,0,0,0.00,0.00,0
"Francisco Lindor",DDG,NYM,SS,FALSE,FALSE,0,23,5,10,6,.260,0,0,0,0,0.00,0.00,0
"Nico Hoerner",DDG,CHC,2B,FALSE,FALSE,0,23,2,7,6,.333,0,0,0,0,0.00,0.00,0
"Robert Suarez",DDG,SD,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,5,16,2.70,0.60,0
"Andrew Saalfrank",DDG,AZ,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,0,4,1.17,1.17,0
"Matt Olson",SKD,ATL,1B,FALSE,FALSE,0,21,8,19,0,.280,0,0,0,0,0.00,0.00,0
"Dennis Santana",DDG,PIT,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,5,13,1.46,0.65,0
"Spencer Horwitz",SKD,PIT,CM,FALSE,FALSE,0,13,4,12,0,.328,0,0,0,0,0.00,0.00,0
"Shohei Ohtani",SKD,LAD,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,18,0.00,0.68,0
"Xavier Edwards",SKD,MIA,MI,FALSE,FALSE,0,7,1,9,3,.282,0,0,0,0,0.00,0.00,0
"Chris Sale",SKD,ATL,P,TRUE,FALSE,0,0,0,0,0,.000,0,2,0,42,2.97,0.86,0
"Ketel Marte",SKD,AZ,DH,FALSE,FALSE,0,14,5,12,0,.260,0,0,0,0,0.00,0.00,0
"L. Garcia Jr.",RGS,UNK,2B,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"W.Adames",RGS,UNK,MI,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Wilm. Contreras",RGS,UNK,C,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Luis Matos",RGS,SF,OF,FALSE,FALSE,0,4,0,2,0,.200,0,0,0,0,0.00,0.00,0
"Dylan Crews",DMK,WSH,OF,FALSE,FALSE,0,10,3,8,3,.226,0,0,0,0,0.00,0.00,0
"Jeff McNeil",DLC,NYM,OF,FALSE,FALSE,0,6,0,7,1,.203,0,0,0,0,0.00,0.00,0
"Caleb Durbin",DLC,MIL,3B,FALSE,FALSE,0,10,2,7,7,.244,0,0,0,0,0.00,0.00,0
"Dansby Swanson",DLC,CHC,SS,FALSE,FALSE,0,9,3,12,9,.205,0,0,0,0,0.00,0.00,0
"Zack Littell",DLC,CIN,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,0,20,4.91,0.97,0
"Jackson Chourio",DDG,MIL,OF,FALSE,FALSE,0,16,3,10,3,.230,0,0,0,0,0.00,0.00,0
"Christian Yelich",DDG,MIL,OF,FALSE,FALSE,0,7,2,11,1,.222,0,0,0,0,0.00,0.00,0
"T. Walker",DDG,UNK,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Hurston Waldrep",DDG,ATL,P,TRUE,FALSE,0,0,0,0,0,.000,0,2,0,31,5.13,1.48,0
"Freddy Peralta",DDG,MIL,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,0,36,3.52,1.09,0
"Ryne Nelson",DDG,AZ,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,24,2.79,1.10,0
"Nick Castellanos",SKD,PHI,OF,FALSE,FALSE,0,6,1,11,0,.241,0,0,0,0,0.00,0.00,0
"Alec Bohm",SKD,PHI,3B,FALSE,FALSE,0,7,2,8,0,.328,0,0,0,0,0.00,0.00,0
"Sal Frelick",SKD,MIL,OF,FALSE,FALSE,0,13,2,10,1,.250,0,0,0,0,0.00,0.00,0
"Matt McLain",SKD,CIN,2B,FALSE,FALSE,0,13,3,9,2,.213,0,0,0,0,0.00,0.00,0
"Trea Turner",SKD,PHI,SS,FALSE,FALSE,0,2,1,5,2,.379,0,0,0,0,0.00,0.00,0
"E.Tovar",RGS,UNK,SS,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"M. Miller",SKD,UNK,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Freddie Freeman",RGS,LAD,1B,FALSE,FALSE,0,14,6,15,2,.273,0,0,0,0,0.00,0.00,0
"Victor Vodnik",SKD,UNK,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,4,5,2.16,1.68,0
"Kyle Schwaber",RGS,UNK,DH,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Logan Webb",RGS,SF,P,TRUE,FALSE,0,0,0,0,0,.000,0,3,0,37,3.51,1.38,0
"Brandon Trinen",RGS,UNK,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Shota Imanaga",RGS,CHC,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,0,22,6.51,1.23,0
"Aaron Ramirez",DVD,UNK,C,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Tyler Freeman",DVD,COL,MI,FALSE,FALSE,0,12,0,5,1,.260,0,0,0,0,0.00,0.00,0
"Marcell Ozuna",DVD,ATL,DH,FALSE,FALSE,0,6,1,6,0,.261,0,0,0,0,0.00,0.00,0
"Abner Uribe",DVD,MIL,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,3,11,1.80,0.90,0
"Gavin Sheets",DVD,SD,CM,FALSE,FALSE,0,8,1,9,0,.182,0,0,0,0,0.00,0.00,0
"JoJo Romero",DVD,STL,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,3,10,1.59,1.06,0
"Sean Manaea",TSH,NYM,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,0,22,6.98,1.40,0
"J.T. Realmuto",RGS,PHI,C,FALSE,FALSE,0,10,1,5,1,.195,0,0,0,0,0.00,0.00,0
"Andruw Monasterio",RGS,MIL,CM,FALSE,FALSE,0,1,0,1,1,.214,0,0,0,0,0.00,0.00,0
"Paul Pages",DVD,UNK,C,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Seiya Suzuki",DVD,CHC,OF,FALSE,FALSE,0,9,5,16,1,.233,0,0,0,0,0.00,0.00,0
"Jordan Beck",DVD,COL,OF,FALSE,FALSE,0,7,2,9,5,.207,0,0,0,0,0.00,0.00,0
"Cedric Mullins",DVD,NYM,OF,FALSE,FALSE,0,6,1,4,2,.130,0,0,0,0,0.00,0.00,0
